,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
20524, Not Disclosed by Recruiter ,7 - 10 yrs, Relationship management| Banking| Relationship| CMS| Customer relationship| Sales process| Customer engagement| Operations| Auditing,Corporate Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Client Servicing/Key Account Manager
20525, Not Disclosed by Recruiter ,3 - 6 yrs, Computer science| jQuery| Javascript| HTML| JSON| Agile methodology| Windows| Asset management| SQL| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20526, Not Disclosed by Recruiter ,1 - 3 yrs, Solution sales| Direct sales| Lead generation| Infrastructure design| Customer retention| IT hardware| Business Development Executive| Sales process| Key account management| Business Executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
20527, Not Disclosed by Recruiter ,2 - 7 yrs, C#| Application Development| C| ASP.Net| MVC| .NET Framework,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20530, Not Disclosed by Recruiter ,0 - 1 yrs, process| Issue| Senior| Inbound calls| Bonus| US shift| Software| Sales Associate| Technical support,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
20532,"12,00,000 - 22,00,000 PA.",6 - 10 yrs, SSIS| SSRS| SSAS| MS SQL Server| MSBI| ETL| ASP| VB.NET| Team Foundation Server| Visual Studio,Senior Management,Analytics & Business Intelligence,"IT-Software, Software Services",Head/VP/GM - Analytics & BI
20533,"5,00,000 - 7,00,000 PA.",2 - 5 yrs, sales management| Media Sales| media marketing| Business Development| Sales Manager| SME Sales,Retail Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager
20534, Not Disclosed by Recruiter ,7 - 12 yrs, actuary| people management| actuarial| accounting,Life Insurance/Financial Services,"Financial Services , Banking , Investments , Insurance","KPO, Research, Analytics",Actuary Manager
20535, Not Disclosed by Recruiter,5 - 6 Years,C|C++|Java|Compilers|Software Engineering|Python|Perl|Automation Testing|MATLAB|OS|XCode|Visual Studio|Mac OS X|IOS,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Testing Engineer
20536,"INR 1,50,000 - 4,75,000 PA.",1 - 3 Years,ENM|E&M Coders|Profee|E / M|E&M,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES,Associate/Senior Associate -(NonTechnical)
20537,"50,000 - 3,00,000 PA.",1 - 6 yrs, administration| facility management| housekeeping| FMS,Administration/Facility Management,"HR , Recruitment , Administration , IR",Other,Executive/ Sr Executive - Facility Management
20538, Not Disclosed by Recruiter,10 - 12 Years,business development|rfp|new business|bpo operations|strategy|business case|consulting|solution design|project delivery|finance process transformation|shared services|Six Sigma,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning",IT-Software / Software Services,Corporate Planning/Strategy Manager
20539, Not Disclosed by Recruiter ,3 - 5 yrs, Global Marketing| Automation| Google Analytics| Integrated Marketing| Marketing Automation| Networking| Digital Marketing| Email Marketing| Salesforce| Issue Resolution,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager
20542, Not Disclosed by Recruiter ,2 - 5 yrs, Training| English| process| Email| school| Education| Social work| Counselling| Ideas| Teaching,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Teacher/ Private Tutor
20543, Not Disclosed by Recruiter ,1 - 6 yrs, html| css| javascript| android development| software development| web technologies| ios| mobile applications| application programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20544, Not Disclosed by Recruiter ,0 - 4 yrs, Application Development| application| application support| oracle forms| pl sql| forms and reports| Production Support| oracle reports| plsql,Programming & Design,IT Software - Client/Server Programming,"IT-Software, Software Services",Software Developer
20545, Not Disclosed by Recruiter ,2 - 7 yrs, Technical Specialists,Architectural Services,"Architecture , Interior Design","IT-Software, Software Services",Architect
20546, Not Disclosed by Recruiter ,6 - 11 yrs, it management| data modeling| verbal communication| data warehousing,Programming & Design,IT Software - Other,"IT-Software, Software Services",Database Architect/Designer
20547,"10,00,000 - 20,00,000 PA.",3 - 8 yrs, Wordpress| PHP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20548, Not Disclosed by Recruiter ,1 - 6 yrs, Query Optimization| Postgresql| SVN| SQL Server| SQL| NoSQL| GIT| Linux| MySQL| asp.net| MS SQL Server| MongoDB| Centos,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20549,Openings: 5,1 - 5 Years,Peptide Synthesis,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology",Pharma / Biotech / Clinical Research,Research Scientist
20550,"1,00,000 - 2,50,000 PA.",1 - 3 yrs, QA| QC| quality auditor| Quality Assurance| quality analyst,Production/Merchandising/Business Development,"Export , Import , Merchandising","Textiles, Garments, Accessories",Quality Assurance/Quality Control Executive
20551,"2,00,000 - 3,75,000 PA.",2 - 6 yrs, project management| project coordination| project planning,Project Management,"Site Engineering , Project Management",Publishing,Project Manager-IT/Software
20552, Not Disclosed by Recruiter ,3 - 8 yrs, Project management| Agile| Analytics| MS Office| JIRA| Account management| Management consulting| Project tracking| Project Coordinator| Management,QA/Testing/Documentation,IT Software - Other,"Advertising, PR, MR, Event Management",Technical Writer
20553, Not Disclosed by Recruiter ,0 - 3 yrs, Graphics| Drupal| Coding| XML| Social media| MySQL| PHP| JSON| Open source| Joomla,Programming & Design,"IT Software - eCommerce , Internet Technologies","Advertising, PR, MR, Event Management",Software Developer
20554,"1,50,000 - 3,25,000 PA.",0 - 3 yrs, BPO| call centre| Cce| computer operator| Non Voice Process| back office| office assistant| ites| backend process| kpo| Inbound| Chat Process| deo| bpo call center| Domestic BPO| data entry operator| Night Shift| data entry| Data Entry Operation,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
20555,"35,00,000 - 50,00,000 PA.",9 - 14 yrs, network infrastructure| Unix Shell Scripting| Perl| Windows| Apache| IT Infrastructure| Kerberos| infrastructure manager| GIT| Linux| Docker| Build| Ansible| Python,System Design/Implementation/ERP/CRM,"IT Software - Network Administration , Security",IT-Hardware & Networking,Solution Architect / Enterprise Architect
20556, Not Disclosed by Recruiter ,1 - 6 yrs, chat process| international bpo| wipro| at&t| csa,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
20557,"2,00,000 - 6,00,000 PA.",2 - 6 yrs, SAP SD,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","FMCG, Foods, Beverage",Network Administrator
20558,"12,00,000 - 18,00,000 PA.",15 - 25 yrs, Production| Factory Management| Quality Control,Senior Management,"Production , Manufacturing , Maintenance","FMCG, Foods, Beverage",Head/VP/GM-Operations
20559, Not Disclosed by Recruiter ,2 - 6 yrs, Business analysis| Consulting| Analytics| Change management| Business transformation| Business Analyst| Bfsi| Social media| Financial services| Business operations,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst
20561, Not Disclosed by Recruiter ,2 - 7 yrs, electrical engineer| Project Management| construction,Site Engineering,"Site Engineering , Project Management","Construction, Engineering, Cement, Metals",Electrical Engineer-Commercial
20562, Not Disclosed by Recruiter ,2 - 5 yrs, Water tester,R&D,"Engineering Design , R&D","FMCG, Foods, Beverage",R&D Executive
20564, Not Disclosed by Recruiter ,2 - 5 yrs, photoshop| ado| fine arts| illustration| graphic| coreldraw| visualisers| advertising| agency,Creative,"Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer
20565, Not Disclosed by Recruiter ,2 - 4 yrs, Excel| MIS| HR Administration| HR| MS Office,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",HR Executive
20566,"1,75,000 - 2,00,000 PA.",0 - 4 yrs,insurance| process| casa| field marketing| level| business executive| retail sales| local| sales| b2b sales| credit cards| current account| sales officer| Field Sales| relationship| who| direct sales,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
20568, Not Disclosed by Recruiter ,2 - 7 yrs, BPO| International Sales| Communication Skills| Selling| voice process| international bpo| Written Communication| international call center| International Process| Sales Executive Activities,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Telecalling/Telemarketing Executive
20569, Not Disclosed by Recruiter ,0 - 2 yrs, Research Associate,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Research Scientist
20570, Not Disclosed by Recruiter ,0 - 1 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
20571,"3,00,000 - 8,00,000 PA.",2 - 5 yrs, SQL Development| Database Administration| DBA| SQL Developer| SQL Queries,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20572, Not Disclosed by Recruiter ,3 - 6 yrs, system analysis| software development| Claims| business system| acceptance testing| HIPAA| uat| Healthcare| data mapping| sdlc| sql,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",System Analyst
20573,"3,00,000 - 4,00,000 PA.",0 - 3 yrs, business development| sales marketing| corporate sales| sales| sales executive| field sales| marketing| educational sales| marketing executive| sales representative| marketing representative| sales insurance| sales associate| direct sales,Corporate Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer
20574, Not Disclosed by Recruiter,1 - 3 Years,HR Policies|Recruitment|Compensation|Employee Retention|HRIS|Benefits|Training Needs|Hiring|Bonus|ATS,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR",IT-Software / Software Services,HR Executive
20575,"14,00,000 - 15,00,000 PA.",3 - 5 yrs, Business Analyst| Business Analytics| Business Analysis| Data Analysis| Data Management| Operations| Finance| Customer Service| R| Python| SQL| Excel,Analytics & BI,Analytics & Business Intelligence,"Courier, Transportation, Freight , Warehousing",Business Analyst
20576,"1,00,000 - 2,50,000 PA.",1 - 5 yrs, hr recruiter| non it recruiter| recruitment| bpo recruitment| recruiter,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",HR Executive
20577, Not Disclosed by Recruiter ,3 - 6 yrs, c++| css| C| cms| HTML| it| design| MySQL| JavaScript| php| mvc,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20578, Not Disclosed by Recruiter ,5 - 10 yrs,microprocessor| 3D| system| software| designs,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Database Architect/Designer
20579, Not Disclosed by Recruiter ,1 - 6 yrs, Workflow| HTML| Multithreading| continuous integration| css| Test scripts| methods| mobile| javascript| Visual Effects| Front end| Web services| TDD| web| infrastructure| developer| angularjs,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20580, Not Disclosed by Recruiter ,4 - 6 yrs, Testing| Test Automation| Appium| Functional Testing| Java| C#| Python| Mobile Testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
20581, Not Disclosed by Recruiter ,4 - 6 yrs, Architecture| Compliance| Investigation| Continuous improvement,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
20582,"1,50,000 - 3,00,000 PA.",0 - 3 yrs, BPO| Customer Service Representative| voice process| CSR| bpo voice| CSE| customer service| Domestic BPO| ITES| Customer Service Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
20583, Not Disclosed by Recruiter,10 - 15 Years,Management Services|Invoice Processing|Sales Account|Finance|Financial Accounting|Account Management|Sales Management|MS Office Outlook|Marketing Planning|Invoicing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",IT-Software / Software Services,Accounts Executive/Accountant
20584,"3,00,000 - 3,75,000 PA.",6 - 8 yrs, marketing| Retail| visual merchandising| operations management| target achievement| retail management| stores| stock management| store operations| store management| manpower management,Retail Sales,"Sales , Retail , Business Development","Retail, Wholesale",Area Sales Manager
20585, Not Disclosed by Recruiter ,3 - 8 yrs, development| networking| embedded| interfaces| c| snmp| rtos| web| radius| routers| programming| architecture,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20586, Not Disclosed by Recruiter ,2 - 5 yrs, Web technologies| Analytical| Database| Representative| Windows| Research| Photoshop| consumer goods| Productivity improvement,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Media, Entertainment, Internet",Associate/Senior Associate -(NonTechnical)
20587, Not Disclosed by Recruiter ,1 - 6 yrs, Outbound| Night shift| English| process| US shift| Voice process| Outbound process| Website sales| Packaging| Education,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
20588,"INR 3,50,000 - 5,50,000 PA.",4 - 9 Years,hatchery|poultry|chicken|broiler|Feed|Veterinary Doctor,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance",Agriculture / Dairy,Quality Assurance/Quality Control Manager
20589,"1,00,000 - 3,25,000 PA.",1 - 6 yrs, Banca Sales| Relationship Manager| Sales Development Manager| Sales Officer| banca,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
20590,"6,00,000 - 16,00,000 PA.",7 - 12 yrs, hni| relationship,Institutional Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Institutional Sales/Business Development Manager
20591, Not Disclosed by Recruiter ,1 - 5 yrs, C++| data science| HTML| SAS| Perl| MATLAB| Technical support| Analytics| Android| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer
20592,"3,00,000 - 8,00,000 PA.",2 - 5 yrs, Corporate Sales| Key Account Management| ad sales| media sales| Space Selling| digital sales,Channel Sales,"Sales , Retail , Business Development","Media, Entertainment, Internet",Sales / BD Manager
20593, Not Disclosed by Recruiter ,6 - 10 yrs, Intellectual property| Management| Debugging,QA/Testing/Documentation,IT Software - Other,"Semiconductors, Electronics",Technical Writer
20594, Not Disclosed by Recruiter ,1 - 6 yrs, Marketing Manager| CRM| Networking| MS Office| Sales process| Pre Sales Executive| Powerpoint| Research| Literature| Management,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
20595, Not Disclosed by Recruiter ,0 - 1 yrs,css| information technology| software fresher| IT| core java| sql| java| computer science| oops| j2ee| html| communication skills,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20596, Not Disclosed by Recruiter ,2 - 7 yrs, Computer skills| operational support| Support| Data management| financial products| Compensation| Management| Business Executive| Back office operations| Flow,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Operations Manager
20597, Not Disclosed by Recruiter ,2 - 7 yrs, MySQL| PHP| XML| server| css| software| Project management| cms| developing| coding| web| json| zend| html| Ajax| magento| development| cakephp| Apache| Joomla| javascript| quality| jQuery| Wordpress| agile| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20598, Not Disclosed by Recruiter,3 - 4 Years,Application Development|Business Applications|Business Process|Salesforce CPQ|Apttus,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
20600, Not Disclosed by Recruiter ,5 - 10 yrs, Price negotiation| Engineering management| Prospecting| Software| Sales training| Management| closure| Quotation| New business development| WHO,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
20601, Not Disclosed by Recruiter ,2 - 6 yrs, Web technologies,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer
20602, Best As Per Industry Standards ,2 - 6 yrs, planning| metrics analysis| policy making,Analytics & BI,Analytics & Business Intelligence,"Chemicals, PetroChemical, Plastic, Rubber",Business Analyst
20603,"6,00,000 - 14,00,000 PA.",3 - 8 yrs, process compliance| US GAAP| sox compliance| IFRS| Process Audit| finance,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Medical Devices / Equipments,ICWA
20604,"7,00,000 - 12,00,000 PA.",3 - 6 yrs, Java| Agile Methodology| Software Development| C| Design Patterns| Computer Science| Database| SQL Queries| JEE| Memory Management,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20605, Not Disclosed by Recruiter ,4 - 8 yrs, leasing| sales management| marketing| sales manager| sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager
20607, Not Disclosed by Recruiter ,8 - 13 yrs, coding| technical support| php mysql| team management| drupal| handling| javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
20608, Not Disclosed by Recruiter ,0 - 3 yrs, Collection Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
20609,"3,00,000 - 5,00,000 PA.",1 - 2 yrs, adobe experience manager| content development| content analysis| content analyst| content writing| content editing| cms| content management system,Content Development,"Journalism , Editing , Content","IT-Software, Software Services",Business Content Developer
20610,"2,00,000 - 5,00,000 PA.",0 - 2 yrs, digital marketing| upselling| prospecting| negotiation| web technologies| software sales| business development executive| selling| it sales| sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
20611,"2,00,000 - 4,50,000 PA.",0 - 5 yrs, IT Recruiter| hiring| mass hiring| bulk hiring| human resource management| us recruitment| HR Recruiter| Talent Acquisition| recruitment| technical recruiter| recruitment executive| us staffing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager
20612, Not Disclosed by Recruiter ,2 - 4 yrs, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Service/Maintenance Engineer
20613,"4,00,000 - 5,00,000 PA.",3 - 6 yrs, Business Intelligence| loyalty program| loyalty| loyalty programs| Business Development| loyalty program management| rewards,Retail Sales,"Sales , Retail , Business Development","Advertising, PR, MR, Event Management",Sales/Business Development Manager
20614,"1,00,000 - 6,00,000 PA.",4 - 8 yrs, Java| Hibernate| Multithreading| MVC| Spring| AWS| Web Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20615, Not Disclosed by Recruiter ,3 - 8 yrs, Financial analysis| Analytical| Social media| IT consulting| Competitor analysis| Trend analysis| Strategic planning| Operations| Corporate strategy| Monitoring,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","IT-Software, Software Services",Corporate Planning/Strategy Manager
20616,Openings: 1,4 - 8 Years,rest|webservices|oracle|advance java|tomcat|jsp|servlet|weblogic|jdbc|j2se|hibernate|core java|sql|plsql|microservices|spring|application server|spring boot|java|xml|j2ee|xslt|soap|pl / sql,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead
20617,"1,00,000 - 3,00,000 PA.",0 - 5 yrs, Communication Skills| tele calling executive| Telecalling| telesales| tele marketing executive| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
20618, Not Disclosed by Recruiter ,2 - 7 yrs, bed| Maths Teacher| teaching mathematics| prt| bsc| school| maths,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",Mathematics Teacher
20619, Not Disclosed by Recruiter ,2 - 7 yrs, Relationship Management| Corporate Banking,Corporate Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Client Servicing/Key Account Manager
20620, Not Disclosed by Recruiter ,4 - 6 yrs, Tally| Team operations| TDS| Payroll| Automation| Claims| Bank reconciliation| Vendor payments| Vendor| Regional accounts,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
20621,"2,00,000 - 3,00,000 PA.",0 - 5 yrs, bd| bde| cold calling| customer service| business development| counter sales| bdo| sales| field sales| banking| credit card sales| marketing| sales executive activities| banking sales| credit cards| lead generation| insurance sales| direct sales,Card Products,"Financial Services , Banking , Investments , Insurance","BPO, Call Centre, ITeS",Cards-Sales Officer/Executive
20622, Not Disclosed by Recruiter ,5 - 10 yrs, ac| solar power| electrical design| pv| electrical engineering| sld| autocad| substation| earthing| design| dc| Layout Design,Site Engineering,"Site Engineering , Project Management","Oil and Gas, Energy, Power, Infrastructure",Electrical Engineer-Industrial
20623, Not Disclosed by Recruiter ,1 - 2 yrs, Public relations| PR Executive| Report writing| Corporate,Public Relations,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Public Relations Executive
20624,"2,00,000 - 7,00,000 PA.",2 - 7 yrs, Sharepoint Development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20625,"3,50,000 - 3,75,000 PA.",2 - 3 yrs, Distribution Management| ASE| Area Sales| FMCG| Channel Management| Area Sales Executive| Sales Marketing| Strategic Planning| Sales Executive Activities,Retail Sales,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager
20626, Not Disclosed by Recruiter ,2 - 4 yrs, EHS| SHE| safety,Safety/Health/Environment,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Safety Officer/Manager
20627,15000,0 - 0 yrs, Computer Operator| Typing| data| Non Voice Process| Non Voice| Voice Process| Data Entry| Inbound| Data Entry Operator| Backend| Domestic Voice Process| Domestic| Back Office| Fresher| Call Center| Voice| Data Entry Operation| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Telecalling/Telemarketing Executive
20629, Not Disclosed by Recruiter ,0 - 2 yrs, Customer support| Technical support| Night shift| process| Technical| Inbound calls| Domestic BPO| Bonus| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
20630, Not Disclosed by Recruiter ,1 - 2 yrs, interpersonal skills| travel| set| sales manager| talent| sales marketing| marketing management,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
20631, Not Disclosed by Recruiter ,0 - 2 yrs, Internship| SEO| Internet marketing| Digital marketing| Social media| SEM| Marketing strategy| Social media marketing| Content writing| Email marketing,Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing Manager
20632, Not Disclosed by Recruiter ,1 - 3 yrs, javascript| html| sql server| silverlight| desktop| analytical| asp net with c| knowledge| vb net| design,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20633, Not Disclosed by Recruiter ,5 - 8 yrs, critical care| Consultant| medicine| ICU| hospital| resident,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",General Practitioner
20634, Not Disclosed by Recruiter ,9 - 13 yrs, Java| Pega| PRPC| JMS| Rest| SQL| MQ| Application Development| Primary Skills| Performance Improvement,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
20635, Not Disclosed by Recruiter ,2 - 5 yrs, Marketing| Business Development| bdm| business development executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales/Business Development Manager
20636, Not Disclosed by Recruiter ,2 - 4 yrs, Business Development| Corporate Sales| Lead Generation| Cold Calling| Business Networking| Sales Initiatives| Market Mapping| Competitor Analysis| Bd| Feasibility Studies| telesales| Inside Sales| Sales,Corporate Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
20637, Not Disclosed by Recruiter,6 - 9 Years,customization|sfdc developer|salesforce developer,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
20638,"2,75,000 - 4,00,000 PA.",0 - 3 yrs, biotechnology| biology| Zoology| bpt| microbiology| nursing| mpt| medical microbiology| medical coding,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern
20640, Not Disclosed by Recruiter ,0 - 5 yrs, operations| technology| human resources| finance,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Finance Executive
20641,"1,50,000 - 2,00,000 PA.",5 - 10 yrs, Salary| Team Handling| Communication Skills| TL| Hiring| Team Leading| Bpo Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
20642,"7,00,000 - 17,00,000 PA.",5 - 10 yrs, Data Services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20643,"2,00,000 - 3,50,000 PA.",2 - 7 yrs, insurance| agency channel| channel sales| business development| retail sales| distribution| corporate sales| sales| field sales| banking| marketing| advisor| bank| sales manager| bfsi| sales officer| bancassurance| telecom| fmcg| direct sales,Corporate Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
20644, Not Disclosed by Recruiter ,10 - 16 yrs, Telecom| Product Management| BSS| PSTN| Agile,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Product Manager
20645,"50,000 - 90,000 PA.",2 - 7 yrs,AS400,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20646, Not Disclosed by Recruiter ,2 - 4 yrs,Sales| Business Operations| B2B Sales| Logistics Sales| Corporate Sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
20647,"2,25,000 - 3,00,000 PA.",0 - 3 yrs, BCOM| BBA| bpo| wipro| BHM| Inbound| B.TECH| MBA| HCL| Customer Support| BSC| HGS| International Voice Process| BA,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
20648,"1,75,000 - 4,00,000 PA.",1 - 3 yrs,Inside Sales| Educational Sales| Admission Counselling| B2C Sales| Senior Sales Executive| business development executive| Education Counseling,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
20649, Not Disclosed by Recruiter ,4 - 6 yrs, Training| Servicing| Recruitment,Retail Sales,"Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
20650,"4,00,000 - 8,00,000 PA.",4 - 7 yrs, Team Management| Client Management| Team Building| Project Management| Problem Solving| Process Improvement| Problem Analysis,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
20651, Not Disclosed by Recruiter ,6 - 8 yrs, SQL| Data Warehousing| ETL| Microstrategy| SSAS| Performance Reporting| Team Leading,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
20652, Not Disclosed by Recruiter ,6 - 10 yrs, Hibernate| UML| PLSQL| Change management| RDBMS| Coding| Eclipse| Intranet| Debugging| SDLC,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
20653,"15,00,000 - 20,00,000 PA.",1 - 3 yrs, Excel| Operations Improvement| Business Growth| VBA| Process Setting| Process Improvement| Project Design| Business Excellence| New Business| Macros,Other,Analytics & Business Intelligence,"IT-Software, Software Services",Other
